JURIS17,CNTY,(No column name)
ALGONA,33,-3
ARLINGTON,61,-2
BLACK DIAMOND,33,-1
BOTHELL2,61,-15
BREMERTON,35,-6
BRIER,61,-5
BUCKLEY,53,-1
CARBONADO,53,-4
CLYDEHILL,33,-22
COVINGTON,33,-3
DES MOINES,33,-72
DUPONT,53,-1
EDGEWOOD,53,-17
EDMONDS,61,-15
EVERETT,61,-21
FEDERAL WAY,33,-9
GIG HARBOR,53,-4
GRANITE FALLS,61,-4
KENMORE,33,-11
KENT,33,-18
KIRKLAND,33,-154
LAKE STEVENS,61,-9
LYNNWOOD,61,-7
MARYSVILLE,61,-16
MERCERISLAND,33,-38
MILLCREEK,61,-2
MONROE,61,-14
NORMANDY PARK,33,-3
PORT ORCHARD,35,-1
PORT ORCHARD,53,-15
PUYALLUP,53,-14
SAMMAMISH,33,-24
SEATAC,33,-22
SEATTLE,33,-1016
SHORELINE,33,-26
SNOHOMISH,61,-1
STANWOOD,61,-2
STEILACOOM,53,-1
SUMNER,53,-3
TACOMA,53,-56
TUKWILA,33,-3
UNINCORPORATED,33,-61
UNINCORPORATED,53,-89
UNINCORPORATED,61,-84
UNINCORPORATED,35,-113
UNIVERSITY PLACE,53,-2
WOODWAY,61,-3
YARROW POINT,33,-4
